disease	taxon_rank_level	ncbi_taxon_id	samples	abus_mean	abus_median	abus_sd
D003424	genus	2569097	718	0.648700581	0.28726	1.03282833
D003424	genus	2048137	690	0.274199454	0.122655919	0.432057295
D003424	genus	33024	682	1.427739054	0.848921012	2.005736101
D003424	genus	84111	676	0.35975948	0.13689295	0.672349397
D003424	genus	2527773	656	1.321710963	0.374942187	2.95716046
D003424	genus	1432051	624	0.711761962	0.120440006	1.846676539
D003424	genus	1505657	618	0.344380452	0.08272962	0.711653937
D003424	genus	2981631	614	0.578820928	0.128815006	1.278641675
D003424	genus	40544	595	2.587450918	0.905560167	5.888430432
D003424	genus	239934	587	5.141660942	0.883562615	11.79932279
D003424	genus	1649459	586	0.536391839	0.075974971	2.519424383
D003424	genus	61170	585	0.12225265	0.033484812	0.409864295
D003424	genus	1392389	572	0.254231262	0.107064664	0.418755391
D003424	genus	2719231	570	0.407551485	0.134775013	1.014321038
D003424	genus	2172004	567	0.193339386	0.106202358	0.34980227
D003424	genus	596767	517	0.098742469	0.056590006	0.165295418
D003424	genus	2678885	507	0.376045547	0.102509995	0.95113359
D003424	genus	838	500	2.713259722	0.201565074	6.51414617
D003424	genus	1654	488	0.671600907	0.039050042	3.551027229
D003424	genus	1501226	480	0.633101367	0.093545	3.251110276
D003424	genus	2815777	473	0.486149631	0.188454446	0.776438744
D003424	genus	204475	468	0.797251521	0.284319929	1.280004897
D003424	genus	2005359	462	0.194388402	0.059283745	0.352377213
D003424	genus	2005355	453	1.43952794	0.321969968	4.271612332
D003424	genus	2039302	451	0.444626435	0.245209975	0.691038608
D003424	genus	1578	443	3.709122167	0.183430144	10.80480957
D003424	genus	244127	438	0.124353213	0.030455508	0.450542389
D003424	genus	724	430	0.586411591	0.087486927	1.567349555
D003424	genus	1017280	417	0.223780373	0.048570015	0.48844796
D003424	genus	1350	415	4.441937932	0.315729874	13.76547911
D003424	genus	1506577	414	0.911085177	0.243090024	1.684975354
D003424	genus	2039240	414	0.322744802	0.088610651	0.653473849
D003424	genus	848	406	1.481604547	0.256318915	3.620493097
D003424	genus	397864	400	1.430354086	0.756358965	1.757862487
D003424	genus	570	397	3.265550585	0.377651894	10.70681083
D003424	genus	580596	392	0.429797591	0.297998888	0.483257661
D003424	genus	1769710	392	0.367456806	0.160234976	0.705840533
D003424	genus	2892396	373	0.580519768	0.143840058	1.620725453
D003424	genus	1924093	366	0.122648085	0.035709996	0.28694385
D003424	genus	1980693	340	0.486645324	0.191129325	0.848997377
D003424	genus	574697	334	0.313630598	0.148573576	0.457155542
D003424	genus	904	320	2.705885991	0.726789965	4.320874993
D003424	genus	2211178	318	0.268266434	0.154620015	0.485136577
D003424	genus	191303	317	0.29951655	0.085772386	0.847171114
D003424	genus	447020	317	0.211979012	0.097620303	0.300839492
D003424	genus	644652	310	0.086887302	0.045782212	0.169080434
D003424	genus	906	308	1.833883631	0.19712498	4.587386443
D003424	genus	1980681	298	0.251032043	0.094880005	0.436265509
D003424	genus	2944193	296	0.795423454	0.072823069	2.414847215
D003424	genus	1357	294	0.466394049	0.030202976	2.824935911
D003424	genus	2529408	270	0.135718304	0.016234994	0.593978098
D003424	genus	1926663	266	0.043023786	0.019710608	0.079090132
D003424	genus	1766253	259	5.157426979	1.216760677	9.118685108
D003424	genus	872	256	0.296018227	0.135381231	0.43830465
D003424	genus	292632	254	2.851516202	1.640131303	4.518219798
D003424	genus	577309	240	1.034502072	0.297161677	2.153392947
D003424	genus	1918536	239	0.529193421	0.10155997	1.318349023
D003424	genus	117563	236	0.302406817	0.014912502	1.472264455
D003424	genus	2742598	235	2.361303744	0.271336951	7.768325559
D003424	genus	32207	230	0.293405116	0.050346892	0.791778076
D003424	genus	1573535	227	0.940206392	0.439040044	1.45365498
D003424	genus	3025755	227	0.864103349	0.210084034	2.165032902
D003424	genus	1378	224	0.531982967	0.074301229	1.963070362
D003424	genus	1472649	224	0.060931584	0.017054997	0.132599271
D003424	genus	2974251	220	15.18368099	0.834289918	22.67439192
D003424	genus	2767887	214	1.50603777	0.202430554	3.859595718
D003424	genus	1348911	208	0.569628172	0.184977644	1.842042548
D003424	genus	836	206	0.458953979	0.138970972	0.907982382
D003424	genus	2759736	204	0.336281798	0.084005017	0.659612631
D003424	genus	84108	193	0.256238885	0.093672992	0.446813092
D003424	genus	2944200	189	0.068324245	0.03111	0.112721696
D003424	genus	2944198	183	0.025111825	0.011490005	0.039814003
D003424	genus	583	182	1.669494626	0.186712003	6.38941273
D003424	genus	158846	170	2.186943196	0.244570665	7.046109112
D003424	genus	1257	164	0.717330939	0.111418396	1.53842324
D003424	genus	2005473	162	1.038295978	0.437408201	1.503432866
D003424	genus	194	159	0.21898774	0.085173072	0.428367994
D003424	genus	1279	156	6.831487101	0.299097524	12.02224443
D003424	genus	1924110	155	0.121236453	0.031749997	0.41666507
D003424	genus	2944199	153	0.069628872	0.023860005	0.10986607
D003424	genus	264995	150	0.018935985	0.005682315	0.043600802
D003424	genus	2508948	150	0.085104692	0.038940004	0.200072714
D003424	genus	1935927	146	0.013094569	0.007415001	0.016313214
D003424	genus	165779	145	0.806341502	0.146059956	1.634904845
D003424	genus	1573534	143	0.337317896	0.114830338	0.595592447
D003424	genus	286	140	0.806348498	0.143159747	3.015601392
D003424	genus	990721	140	0.055425653	0.006162354	0.236751827
D003424	genus	162289	138	1.215560265	0.163058289	2.770634959
D003424	genus	1918511	136	0.187055111	0.083891571	0.464565689
D003424	genus	100883	133	0.111668778	0.022970039	0.275165823
D003424	genus	2126544	133	0.012912658	0.007299997	0.015956067
D003424	genus	1763508	129	0.060216505	0.015160002	0.138068027
D003424	genus	1940255	129	0.223031553	0.018149575	0.756951676
D003424	genus	1473205	128	0.309407899	0.16677	0.415668088
D003424	genus	2764317	127	0.021620869	0.013219999	0.032735044
D003424	genus	135858	125	1.018673246	0.4364	1.362248125
